gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group E,high school,free/reduced,completed,57,75,73
female,group E,high school,free/reduced,none,57,58,57
female,group C,bachelor's degree,standard,completed,56,79,72
female,group E,master's degree,free/reduced,none,56,72,65
female,group D,high school,standard,none,56,52,55
female,group D,high school,standard,completed,56,68,74
female,group A,some college,standard,none,56,58,64
female,group D,associate's degree,free/reduced,none,56,65,63
male,group C,some high school,free/reduced,completed,56,61,60
male,group D,some high school,free/reduced,none,56,54,52
female,group C,associate's degree,free/reduced,completed,56,68,70
female,group C,some college,standard,none,55,69,65
male,group A,some high school,free/reduced,none,55,46,43
male,group D,some high school,free/reduced,completed,55,59,59
male,group B,some college,free/reduced,none,55,55,47
male,group D,some high school,standard,none,55,47,44
female,group D,master's degree,standard,none,55,64,70
female,group A,associate's degree,standard,completed,55,65,62
female,group C,associate's degree,standard,completed,55,72,79
female,group D,some college,free/reduced,none,55,71,69
female,group C,some high school,free/reduced,none,55,65,62
male,group C,associate's degree,free/reduced,none,55,61,54
male,group D,bachelor's degree,free/reduced,none,55,46,44
female,group A,high school,standard,none,55,73,73
male,group E,high school,free/reduced,none,55,56,51
male,group D,high school,standard,completed,55,41,48
male,group D,some college,standard,none,55,58,52
male,group B,bachelor's degree,free/reduced,none,55,59,54
female,group D,associate's degree,free/reduced,none,55,76,76
female,group C,associate's degree,standard,none,54,61,58
male,group B,some college,free/reduced,none,54,54,45
female,group D,master's degree,standard,none,54,60,63
female,group C,some college,standard,none,54,48,52
female,group B,associate's degree,free/reduced,none,54,65,65
female,group C,high school,standard,none,54,59,62
female,group A,some college,standard,none,54,63,67
male,group A,associate's degree,standard,none,54,53,47
female,group C,master's degree,standard,completed,54,64,67
male,group C,master's degree,free/reduced,none,54,59,50
female,group B,high school,standard,none,54,64,68
male,group C,high school,free/reduced,none,54,72,59
male,group D,high school,standard,none,54,52,52
male,group B,some college,standard,none,54,52,51
female,group C,associate's degree,free/reduced,none,54,58,61
female,group C,some college,standard,none,54,64,65
female,group B,some high school,standard,completed,54,61,62
male,group D,bachelor's degree,standard,none,54,49,47
female,group C,high school,free/reduced,none,53,72,64
male,group D,associate's degree,free/reduced,none,53,54,48
male,group A,some high school,standard,none,53,54,48
male,group E,some college,standard,none,53,55,48
female,group B,associate's degree,standard,none,53,58,65
female,group D,master's degree,standard,none,53,61,68
male,group C,bachelor's degree,free/reduced,none,53,58,55
female,group C,associate's degree,free/reduced,none,53,61,62
male,group E,associate's degree,standard,none,53,45,40
female,group B,associate's degree,free/reduced,none,53,70,70
female,group A,high school,free/reduced,completed,53,50,60
male,group C,some college,standard,none,53,44,42
female,group B,associate's degree,free/reduced,none,53,71,67
male,group A,high school,free/reduced,none,53,58,44
female,group C,associate's degree,standard,none,53,62,53
male,group C,high school,standard,completed,53,52,49
male,group C,some high school,free/reduced,completed,53,37,40
male,group A,some college,standard,none,53,43,43
male,group C,high school,free/reduced,completed,53,51,51
male,group D,high school,standard,none,53,52,42
female,group C,some college,standard,none,53,62,56
male,group C,some college,standard,none,53,39,37
female,group B,some college,free/reduced,completed,53,66,73
female,group E,some college,free/reduced,none,53,58,57
female,group D,associate's degree,free/reduced,none,52,59,56
female,group C,bachelor's degree,standard,completed,52,61,66
female,group B,associate's degree,standard,completed,52,66,73
female,group B,bachelor's degree,standard,none,52,65,69
female,group C,some college,standard,none,52,58,58
female,group C,master's degree,free/reduced,none,52,65,61
male,group B,high school,standard,completed,52,49,46
male,group D,associate's degree,free/reduced,none,52,57,50
female,group B,master's degree,free/reduced,completed,52,70,62
female,group D,some college,free/reduced,completed,52,59,65
male,group B,high school,standard,none,52,48,49
female,group B,associate's degree,free/reduced,none,52,76,70
male,group C,high school,standard,none,52,53,49
female,group C,associate's degree,standard,none,52,55,57
female,group B,some high school,free/reduced,completed,52,67,72
female,group C,associate's degree,standard,completed,52,59,62
female,group D,high school,free/reduced,completed,52,57,56
male,group D,associate's degree,standard,none,52,55,49
female,group A,bachelor's degree,standard,none,51,49,51
male,group A,some high school,standard,none,51,31,36
female,group C,bachelor's degree,free/reduced,completed,51,72,79
female,group D,some high school,standard,none,51,63,61
female,group D,high school,standard,none,51,66,62
male,group C,associate's degree,standard,completed,51,60,58
male,group C,some high school,standard,none,51,52,44
female,group D,some college,standard,none,51,58,54
male,group B,some high school,standard,completed,51,54,41
male,group C,some high school,free/reduced,completed,51,56,53
female,group E,associate's degree,standard,none,51,51,54
female,group B,some college,standard,completed,50,64,66
female,group E,high school,standard,none,50,50,47
female,group B,high school,free/reduced,none,50,67,63
female,group E,associate's degree,free/reduced,none,50,56,54
male,group C,high school,standard,none,50,48,42
female,group C,bachelor's degree,free/reduced,none,50,60,59
female,group D,some high school,free/reduced,none,50,64,59
female,group A,master's degree,free/reduced,none,50,67,73
female,group B,high school,standard,none,50,53,55
female,group C,some high school,free/reduced,completed,50,60,60
male,group A,some college,free/reduced,completed,50,47,54
male,group C,some college,free/reduced,completed,50,48,53
male,group D,bachelor's degree,free/reduced,none,50,42,48
female,group A,master's degree,standard,none,50,53,58
female,group C,high school,free/reduced,completed,50,66,64
male,group C,associate's degree,standard,none,49,51,43
female,group D,some college,free/reduced,none,49,58,60
male,group D,some college,free/reduced,none,49,57,46
female,group C,associate's degree,standard,none,49,53,53
female,group C,some high school,standard,none,49,63,56
male,group B,master's degree,free/reduced,none,49,53,52
male,group E,some college,free/reduced,completed,49,52,51
female,group D,high school,free/reduced,none,49,57,52
female,group D,some college,free/reduced,none,49,65,61
male,group B,high school,free/reduced,none,49,45,45
